User ID,Full Name,Late Days Left,Orientation Quiz,Week 1 Quiz 1,Week 1 Quiz 2,Week 2 Quiz 1,Week 2 Quiz 2,Week 3 Quiz 1,Week 3 Quiz 2,Week 4 Quiz 1,Week 4 Quiz 2,Week 5 Quiz 1,Week 5 Quiz 2,Week 6 Quiz 1,Week 6 Quiz 2,Week 7 Quiz 1,Week 7 Quiz 2,Week 8 Quiz 1,Week 8 Quiz 2,Final Exam,Week 3 Discussion Samples,Week 5 Discussion Samples,Week 7 Discussion Samples
58127,XXXXX,0,5,5,0.4,9,4,3,1.33333,4,1.22619,4,1.42857,5,1,5,0.428571,6,3.57143,,,,
58507,XXXXX,0,2.5,,,,,,,,,,,,,,,,,,,,
59255,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
60115,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
60190,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
60468,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
60838,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
61038,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
61584,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
62528,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
62791,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
63466,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
63841,XXXXX,0,5,,,,,,,,,,,,,,,,,,,,
63914,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
64594,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
64759,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
64877,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
65273,XXXXX,0,5,13,2.8,8,3,7,2.5,,,,,,,,,,,,,,
65298,XXXXX,0,0,,,,,,,,,,,,,,,,,,,,
65327,XXXXX,0,2.5,6.5,1.2,,,,,,,,,,,,,,,,,,
65574,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
66539,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
66725,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
68906,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
68989,XXXXX,0,5,13,4,18,4,0,0,0,,,,,,,,,,,,,
69476,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
70230,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
70314,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
70564,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
71269,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
72203,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
73057,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
73480,XXXXX,0,5,6,,,,,,,,,,,,,,,,,,,
75064,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
75873,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
77482,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
77782,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
80312,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
83058,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
83706,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
84043,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
84093,XXXXX,0,5,,,,,,,,,,,,,,,,,,,,
